elevator(deg),beta(deg),alpha(deg),Cx,Cy,Cz,Cl,Cm,Cn
-20.0,-4.0,-25.0,0.4136829295584301,0.04675120321791917,1.8161969780635958,-0.009457700732407967,0.5012591926978746,-0.01789041603640805
-20.0,-4.0,-20.0,0.24993675244118982,0.045316616425460754,1.4854023638743052,-0.008272400745248525,0.4237482871947492,-0.0176089862428838
-20.0,-4.0,-15.0,0.12285249726402551,0.04422558937471837,1.14945412937411,-0.00689046441751558,0.36450142832639004,-0.017555759209846856
-20.0,-4.0,-10.0,0.032704061899311264,0.04308266431163839,0.8201273454872698,-0.004956817572389725,0.3329218916079628,-0.017453530158429625
-20.0,-4.0,-5.0,-0.021566502182511157,0.04257197532374179,0.5052703776810724,-0.0019180538357046993,0.33244453096018217,-0.017315241104833404
-20.0,-4.0,0.0,0.004844370728901863,0.06230757942644968,-0.16316359041790604,0.0030329037195627787,-0.10454214642417892,-0.024992149736307586
-20.0,-4.0,5.0,-0.017949613523075805,0.07805044132688926,-0.13157623429268003,0.007976984437321718,0.3267617956114372,-0.029713685195871337
-20.0,-4.0,10.0,0.039773186184231736,0.12838108669046353,-0.48131064409696395,0.018737686033121165,0.27530251510260967,-0.048446668791051854
-20.0,-4.0,15.0,0.13634139829027048,0.14163260452715618,-0.8379944498757589,0.03291429945971874,0.1975367126208486,-0.059450400342017456
-20.0,-4.0,20.0,0.2852985759540044,0.06991818844850775,-1.204144118203832,0.04201934688195855,0.07671991554178051,-0.04326655263414602
-20.0,-4.0,25.0,0.5437980069185837,-0.26539329598789957,-1.6126909193084775,-0.01795377965771571,-0.18930111622108176,0.08959340659539862
-20.0,-2.0,-25.0,0.4138147010243838,0.023384496195100215,1.8198841569876614,-0.004768337961651281,0.4985527745423395,-0.00895365121957194
-20.0,-2.0,-20.0,0.24951047212592267,0.022644147958608873,1.488194118746313,-0.004181545400719194,0.4214517958534521,-0.008805978999664529
-20.0,-2.0,-15.0,0.12199503188200839,0.022045435314865476,1.1518855973698001,-0.003491483056510321,0.36340036704894757,-0.008761274777452262
-20.0,-2.0,-10.0,0.03116508448028212,0.021381984155357987,0.8196277942630883,-0.0025167755299521305,0.32987583563650674,-0.008679137127075777
-20.0,-2.0,-5.0,-0.023089298743716475,0.021042409832063284,0.5063269655609782,-0.0009680515787131874,0.33292518603404164,-0.008570449379497087
-20.0,-2.0,0.0,-0.04245068327775939,0.02600532929156803,0.1778725006992089,0.0017086333082501045,0.3212840702369521,-0.010197948036789887
-20.0,-2.0,5.0,-0.02121847633042234,0.03965081599011403,-0.12870608504856854,0.004059775740818616,0.33327979222458,-0.015070682186943065
-20.0,-2.0,10.0,0.031539212554770275,0.06336718809331464,-0.4762340502829128,0.009445730834445049,0.2877430953436845,-0.024066175932396752
-20.0,-2.0,15.0,0.11941482550600796,0.07225893518120238,-0.8264707533193684,0.016833521485310365,0.22480282557848885,-0.030332352684952723
-20.0,-2.0,20.0,0.24481622707869705,0.03990368946317751,-1.1739077141693033,0.022139939903443772,0.14431109132092998,-0.02376155111707294
-20.0,-2.0,25.0,0.40825766177746325,-0.07290817680700393,-1.5116896388609369,0.005771843680346182,0.04831734208711153,0.018729862167620633
-20.0,0.0,-25.0,0.4137823987512666,4.474174549775926e-15,1.8208615294368156,5.743366909683634e-15,0.49734256736509663,-2.3642257382012813e-15
-20.0,0.0,-20.0,0.24936986055151064,2.401967915980972e-15,1.4891372195227872,4.370168890657859e-15,0.4206996131304454,-1.2378266254747795e-15
-20.0,0.0,-15.0,0.1217193045547203,7.42574869728536e-16,1.152777262127628,3.0867992914524603e-15,0.3631326045407793,-4.717592907990488e-16
-20.0,0.0,-10.0,0.030970470181043243,-2.967713971642379e-16,0.8224962090886653,2.119919971540586e-15,0.3326254977941236,2.961640780535272e-17
-20.0,0.0,-5.0,-0.02352988741421303,-6.622113848751168e-16,0.5073548497021733,1.203485808498458e-15,0.33392031220124174,2.1675772182034938e-16
-20.0,0.0,0.0,-0.037547470389501646,-1.1304344535771619e-14,0.23879035427352174,1.0564975236809364e-14,0.39758782427448314,3.735928839012651e-15
-20.0,0.0,5.0,-0.022310419523049012,2.7415888206716963e-16,-0.12773853250006145,-4.71816986174502e-16,0.33547554701408694,-1.0773492269102251e-16
-20.0,0.0,10.0,0.029011474188043528,1.2573595789336982e-15,-0.47463238074561076,-1.274256613694356e-15,0.29179098252803737,-5.264194154818337e-16
-20.0,0.0,15.0,0.1146988287486769,3.142233693340331e-15,-0.8233171754225889,-2.0491304904394682e-15,0.23290620975766227,-1.327761769022986e-15
-20.0,0.0,20.0,0.23579238804579752,2.0640228538304678e-15,-1.1672774161722614,-3.777511985414182e-15,0.1607142393142489,-1.1549028260635103e-15
-20.0,0.0,25.0,0.3921273923629227,-3.7541318545704278e-16,-1.499840855137278,-6.094491831613062e-15,0.07814196780315504,-2.1723195352369195e-16
-20.0,2.0,-25.0,0.41381470102438367,-0.02338449619509079,1.8198841569876618,0.004768337961662571,0.4985527745423401,0.00895365121956713
-20.0,2.0,-20.0,0.24951047212592298,-0.022644147958604182,1.4881941187463144,0.004181545400727825,0.42145179585345277,0.008805978999662002
-20.0,2.0,-15.0,0.12199503188200862,-0.022045435314863995,1.1518855973698003,0.003491483056516584,0.36340036704894896,0.008761274777451318
-20.0,2.0,-10.0,0.03116508448028237,-0.02138198415535854,0.8196277942630895,0.002516775529956403,0.32987583563650774,0.008679137127075813
-20.0,2.0,-5.0,-0.02308929874371625,-0.021042409832064592,0.5063269655609792,0.000968051578715624,0.3329251860340433,0.008570449379497507
-20.0,2.0,0.0,-0.04245068327817354,-0.02600532929201749,0.17787250069271324,-0.0017086333079184193,0.3212840702288102,0.010197948036958988
-20.0,2.0,5.0,-0.02121847633042224,-0.039650815990113525,-0.12870608504856743,-0.004059775740819602,0.33327979222458165,0.015070682186942864
-20.0,2.0,10.0,0.03153921255477028,-0.06336718809331351,-0.476234050282912,-0.009445730834447788,0.28774309534368625,0.02406617593239613
-20.0,2.0,15.0,0.11941482550600752,-0.07225893518119494,-0.8264707533193665,-0.01683352148531474,0.2248028255784901,0.03033235268494962
-20.0,2.0,20.0,0.2448162270786959,-0.0399036894631646,-1.1739077141693026,-0.0221399399034494,0.1443110913209315,0.023761551117067084
-20.0,2.0,25.0,0.40825766177746153,0.07290817680702916,-1.511689638860936,-0.005771843680351593,0.048317342087114086,-0.018729862167632724
-20.0,4.0,-25.0,0.41368292955843083,-0.04675120321791006,1.8161969780635991,0.009457700732419281,0.5012591926978764,0.01789041603640337
-20.0,4.0,-20.0,0.24993675244118999,-0.04531661642545602,1.4854023638743066,0.008272400745257142,0.4237482871947514,0.017608986242881267
-20.0,4.0,-15.0,0.12285249726402613,-0.04422558937471699,1.1494541293741123,0.006890464417521883,0.36450142832639326,0.017555759209845898
-20.0,4.0,-10.0,0.03270406189931187,-0.04308266431163887,0.8201273454872733,0.00495681757239395,0.33292189160796687,0.017453530158429643
-20.0,4.0,-5.0,-0.021566502182510664,-0.04257197532374312,0.5052703776810751,0.0019180538357071422,0.3324445309601854,0.01731524110483383
-20.0,4.0,0.0,0.004844406083854613,-0.06230759435306353,-0.1631637392374963,-0.0030328973637833694,-0.10454233338519309,0.024992157590162774
-20.0,4.0,5.0,-0.017949613523075683,-0.0780504413268877,-0.1315762342926776,-0.007976984437322629,0.32676179561144086,0.02971368519587078
-20.0,4.0,10.0,0.039773186184231285,-0.12838108669045595,-0.4813106440969619,-0.018737686033123545,0.2753025151026138,0.0484466687910491
-20.0,4.0,15.0,0.13634139829027084,-0.14163260452716028,-0.8379944498757582,-0.03291429945972412,0.1975367126208505,0.05945040034201834
-20.0,4.0,20.0,0.28529857595399905,-0.06991818844848151,-1.2041441182038293,-0.042019346881961094,0.07671991554178799,0.04326655263413449
-20.0,4.0,25.0,0.5437980069185826,0.26539329598710093,-1.6126909193084806,0.01795377965751742,-0.1893011162211,-0.08959340659505813
0.0,-4.0,-25.0,0.4232276310389051,0.0444211189330785,1.575346405423623,-0.007279015615852945,0.18613112149999375,-0.016615915401310907
0.0,-4.0,-20.0,0.2664503301065449,0.0425084428248467,1.2468589446109417,-0.005770499032728701,0.11029587731953247,-0.01606649580342931
0.0,-4.0,-15.0,0.14534725827304354,0.040754231687775325,0.9125706993126299,-0.003993279040679065,0.05201176325447306,-0.015628513907254872
0.0,-4.0,-10.0,0.06018742886380595,0.03903286993192485,0.582370202555062,-0.0017276638957722482,0.018133080740991153,-0.015171097234590843
0.0,-4.0,-5.0,0.010240421821661683,0.03895709260727949,0.261527377346364,0.0012342326338170536,0.008738319050056037,-0.0151884325802868
0.0,-4.0,0.0,0.091885879048497,0.06146179459774916,-0.4712148504625148,0.006887635111442128,-0.5070364057411346,-0.0238895579241362
0.0,-4.0,5.0,0.01734901630030854,0.07665373043519005,-0.36880583144900037,0.010947456796432636,0.01238092851758825,-0.028473442247481908
0.0,-4.0,10.0,0.07798391322112397,0.12885923937030264,-0.7101763621111421,0.02197302234072909,-0.026743752027723635,-0.04795344061915243
0.0,-4.0,15.0,0.17921434443999223,0.14261948625206383,-1.063526173301819,0.036591373335290195,-0.09873092302362291,-0.059249084329793186
0.0,-4.0,20.0,0.3344007188623633,0.0676733574617179,-1.4300104142186632,0.04614308675536349,-0.21858820122511335,-0.041858894739651376
0.0,-4.0,25.0,0.6011045232546007,-0.27934118478435543,-1.8409361352920954,-0.01582750238527785,-0.48740207243459,0.09581650279492179
0.0,-2.0,-25.0,0.42346662272180885,0.02220090805182563,1.5794068407302824,-0.003668438332800123,0.18397338125323487,-0.008306855102349369
0.0,-2.0,-20.0,0.26615848532226605,0.021213481796091387,1.249892965481245,-0.00291635857129782,0.10834947372150872,-0.00802079317475416
0.0,-2.0,-15.0,0.1446680586209425,0.020276689334228108,0.9148545081321258,-0.002026574046072872,0.050712519139890874,-0.007780405814236032
0.0,-2.0,-10.0,0.059097276681104705,0.019341212775619246,0.5809119498858242,-0.0008923808577484422,0.013801764204645035,-0.007530563175578983
0.0,-2.0,-5.0,0.009069153509865303,0.019279890023308006,0.2609413644095537,0.0005990613146099243,0.007061942325241439,-0.007529012347928016
0.0,-2.0,0.0,-0.006288922319839998,0.02532061507600929,-0.08579389076621773,0.003070022839144145,-0.027918622993278578,-0.0096028025783378
0.0,-2.0,5.0,0.014273108043817987,0.03908844228737324,-0.3680938858551055,0.00551579324971348,0.016067619680946776,-0.014513124861904952
0.0,-2.0,10.0,0.06979526807817231,0.06363116562234389,-0.7067736768489093,0.0110781504380021,-0.01648825740595299,-0.023825762800857592
0.0,-2.0,15.0,0.16202878515690436,0.07273964724213043,-1.0529735474481974,0.018697229788797495,-0.07264071738360892,-0.03022175313738432
0.0,-2.0,20.0,0.29289086063589764,0.03882264142473305,-1.399263295484845,0.02421250331279313,-0.149974934477508,-0.023073975092013463
0.0,-2.0,25.0,0.4624314911177385,-0.07852932918540546,-1.7368790899980817,0.007105590006061675,-0.24392533317071718,0.021271401922363625
0.0,0.0,-25.0,0.4234888705763911,5.067492572442221e-15,1.580496914064673,4.913766889173328e-15,0.1829300764825659,-2.4559001953347593e-15
0.0,0.0,-20.0,0.2660635022863688,2.92671578364434e-15,1.250910852035384,3.669865329302001e-15,0.10770555618494088,-1.3934472030461196e-15
0.0,0.0,-15.0,0.14445005253426763,1.1309970957218586e-15,0.9156799436070131,2.48905446947263e-15,0.05035587703601429,-6.226295119219774e-16
0.0,0.0,-10.0,0.05887193763838982,1.6999970985326234e-16,0.5834337004504325,1.5367387420772731e-15,0.01608408597124886,-1.3708249665916146e-16
0.0,0.0,-5.0,0.00869960347321171,-2.0372230614980807e-16,0.26147221250710956,7.09017307356151e-16,0.007401028115475908,6.251988994521116e-17
0.0,0.0,0.0,-0.004413344121615926,-6.1923842394215795e-15,-0.004371469630598745,5.9010119568701664e-15,0.0736445737660553,2.367837618191091e-15
0.0,0.0,5.0,0.01324549851643538,8.430741560835478e-16,-0.3678146846404394,-9.305528936266515e-16,0.017361894360079667,-3.4144458927660887e-16
0.0,0.0,10.0,0.0672858273477009,1.915195502543371e-15,-0.7057504598989413,-1.7012147397892963e-15,-0.01319386085895506,-8.1800769282507e-16
0.0,0.0,15.0,0.15725329316518807,3.913389621106572e-15,-1.050159412357656,-2.6618023485549634e-15,-0.06495159334558454,-1.686176210804666e-15
0.0,0.0,20.0,0.2836333992279383,3.051256340462326e-15,-1.392552353804534,-4.1998671304275885e-15,-0.1333823641692572,-1.6121064453146612e-15
0.0,0.0,25.0,0.44583692501301264,7.304857699854172e-16,-1.7244777168946357,-6.673995415295567e-15,-0.21315785144943275,-8.014062792720047e-16
0.0,2.0,-25.0,0.4234666227218087,-0.02220090805181557,1.5794068407302833,0.00366843833281015,0.18397338125323523,0.00830685510234438
0.0,2.0,-20.0,0.2661584853222664,-0.021213481796085752,1.2498929654812456,0.002916358571305051,0.10834947372150903,0.008020793174751337
0.0,2.0,-15.0,0.14466805862094256,-0.0202766893342258,0.9148545081321268,0.0020265740460779593,0.05071251913989175,0.0077804058142347835
0.0,2.0,-10.0,0.05909727668110479,-0.019341212775618944,0.5809119498858251,0.0008923808577515799,0.013801764204645713,0.007530563175578696
0.0,2.0,-5.0,0.00906915350986536,-0.019279890023308432,0.2609413644095544,-0.0005990613146085024,0.007061942325242403,0.007529012347928144
0.0,2.0,0.0,-0.00628892231983472,-0.02532061507635073,-0.08579389077088465,-0.003070022838898456,-0.02791862299910147,0.009602802578484773
0.0,2.0,5.0,0.014273108043817912,-0.03908844228737155,-0.36809388585510455,-0.005515793249715401,0.016067619680948005,0.014513124861904259
0.0,2.0,10.0,0.06979526807817213,-0.06363116562234138,-0.7067736768489088,-0.011078150438005786,-0.016488257405951837,0.023825762800856378
0.0,2.0,15.0,0.16202878515690403,-0.0727396472421211,-1.0529735474481965,-0.0186972297888028,-0.0726407173836076,0.030221753137380365
0.0,2.0,20.0,0.29289086063589687,-0.038822641424718085,-1.3992632954848454,-0.024212503312799886,-0.1499749344775069,0.023073975092006618
0.0,2.0,25.0,0.46243149111773674,0.07852932918543314,-1.7368790899980815,-0.0071055900060680455,-0.2439253331707149,-0.02127140192237703
0.0,4.0,-25.0,0.42322763103890565,-0.044421118933068375,1.575346405423626,0.0072790156158627425,0.1861311214999952,0.016615915401305997
0.0,4.0,-20.0,0.26645033010654484,-0.04250844282484111,1.2468589446109437,0.005770499032735967,0.11029587731953365,0.016066495803426516
0.0,4.0,-15.0,0.14534725827304362,-0.04075423168777292,0.9125706993126319,0.003993279040684077,0.05201176325447513,0.015628513907253627
0.0,4.0,-10.0,0.060187428863806146,-0.039032869931924445,0.5823702025550646,0.0017276638957753362,0.01813308074099392,0.015171097234590515
0.0,4.0,-5.0,0.010240421821661811,-0.038957092607279926,0.2615273773463657,-0.0012342326338156224,0.008738319050058068,0.015188432580286933
0.0,4.0,0.0,0.0918857488895861,-0.06146175305388805,-0.47121446791994664,-0.006887652672235067,-0.5070359266280301,0.02388953461543722
0.0,4.0,5.0,0.01734901630030831,-0.07665373043518699,-0.36880583144899887,-0.010947456796434525,0.012380928517590794,0.028473442247480753
0.0,4.0,10.0,0.07798391322112319,-0.12885923937029456,-0.7101763621111402,-0.021973022340732284,-0.02674375202772015,0.04795344061914938
0.0,4.0,15.0,0.17921434443999232,-0.14261948625206716,-1.0635261733018195,-0.03659137333529642,-0.09873092302362164,0.05924908432979347
0.0,4.0,20.0,0.334400718862358,-0.0676733574616891,-1.4300104142186612,-0.046143086755366824,-0.21858820122510714,0.04185889473963859
0.0,4.0,25.0,0.6011045232545994,0.27934118478352943,-1.840936135292098,0.01582750238507211,-0.48740207243460787,-0.09581650279456923
20.0,-4.0,-25.0,0.3717641900947975,0.04484521465207603,1.3575809180698044,-0.00527730611956189,-0.09955291932039044,-0.01726856517062651
20.0,-4.0,-20.0,0.2202033878766694,0.04292202880355215,1.0275160162098227,-0.0034487972816970754,-0.17934979839239007,-0.01678431985051464
20.0,-4.0,-15.0,0.10349095920764083,0.04113946345437536,0.6905697611789722,-0.0012733600507445592,-0.2428886914767404,-0.016401319390115455
20.0,-4.0,-10.0,0.021398817788803474,0.03947722695435702,0.3547286591538598,0.0013410052926052464,-0.2859028410976914,-0.01600844710264761
20.0,-4.0,-5.0,-0.027173400257189142,0.03986735861960261,0.022789759124740665,0.004260950499604662,-0.3115618570454992,-0.016180089598536028
20.0,-4.0,0.0,0.12098520539994141,0.06403768237950992,-0.7681213044349737,0.0104883731464572,-0.8986495493232685,-0.024973450023721904
20.0,-4.0,5.0,-0.016194673873326407,0.07926990382012288,-0.6094409083153636,0.01397242960769635,-0.31060101215834235,-0.03001102492943776
20.0,-4.0,10.0,0.04927649587858076,0.13331369661628414,-0.9468487561495809,0.025323618973944775,-0.3435323280522397,-0.050209250626736764
20.0,-4.0,15.0,0.1561520273926714,0.14773540340176314,-1.301022127281322,0.04043242254120258,-0.4155993718322197,-0.06188958674162982
20.0,-4.0,20.0,0.3180513292826847,0.07006930148150248,-1.6718188197945774,0.05048762804754983,-0.5401775925761239,-0.04367808878556157
20.0,-4.0,25.0,0.5935137890992784,-0.28885176859583417,-2.0889519817932234,-0.013464166636975722,-0.8173135134969689,0.0987804697419154
20.0,-2.0,-25.0,0.3721809000024133,0.022407626347487407,1.3620077716680181,-0.002658256319315986,-0.10117503039906824,-0.008632827188786177
20.0,-2.0,-20.0,0.220083675967202,0.02141380447560505,1.0307819308385187,-0.0017426786166872623,-0.1809619480477034,-0.008379293164685801
20.0,-2.0,-15.0,0.10293499531321769,0.020463178753304983,0.692695422252447,-0.000651714394367688,-0.2444015889035679,-0.008166721347434064
20.0,-2.0,-10.0,0.02051906083729296,0.01956647692920159,0.3523657024041146,0.0006508082819260398,-0.2914548946755181,-0.007952870164654931
20.0,-2.0,-5.0,-0.028348717532278606,0.01975733876013758,0.020704985634091504,0.0021046252009500966,-0.3152151317698019,-0.008033435764318931
20.0,-2.0,0.0,-0.03961073617229859,0.02641343502641343,-0.34717903069573264,0.0043735611788143615,-0.3778290907556911,-0.01024086610009978
20.0,-2.0,5.0,-0.01960362783056007,0.040473825012477045,-0.6110465600580668,0.00699492015047959,-0.30997978617867544,-0.0153053247777516
20.0,-2.0,10.0,0.04070977193377958,0.06590160470852374,-0.9452177629626302,0.012767723492761831,-0.3356248709248212,-0.024970329911369254
20.0,-2.0,15.0,0.13839669067125443,0.07530628484422035,-1.2915323265038,0.020643889282835712,-0.3908364179659964,-0.0315482396406923
20.0,-2.0,20.0,0.27542488413329774,0.040054906403899276,-1.640609268258815,0.026396192752809577,-0.47060947614514365,-0.023999357667695082
20.0,-2.0,25.0,0.4518651733628577,-0.08193613029395631,-1.9817826800189604,0.008561621393570305,-0.5678473388686405,0.022192670006448728
20.0,0.0,-25.0,0.37227909841942153,5.0895482901648565e-15,1.3632125279735274,4.2390081264328536e-15,-0.10205045876318833,-2.378853020156866e-15
20.0,0.0,-20.0,0.22004538022202946,3.008393858992909e-15,1.031871382271546,3.0191756989832016e-15,-0.18150252141112594,-1.4165327191470566e-15
20.0,0.0,-15.0,0.10275280941486213,1.360606673548454e-15,0.6934513772665932,1.8760558799971292e-15,-0.2448518748258715,-6.754415175223529e-16
20.0,0.0,-10.0,0.020175713650464246,3.8002036509440175e-16,0.35452562844920354,1.0879683639168527e-15,-0.28965979603652114,-2.154434506787183e-16
20.0,0.0,-5.0,-0.028769637092093157,1.0295266398985208e-16,0.02077519807838993,2.6363031688835117e-16,-0.315486956695303,-6.940681571255164e-17
20.0,0.0,0.0,-0.04427029929809801,-1.708158853894945e-15,-0.2479529848095341,1.5081792973804652e-15,-0.2546075270391966,7.959180782193785e-16
20.0,0.0,5.0,-0.02073514595717263,1.3424811349652608e-15,-0.6115085154653573,-1.3713062714834244e-15,-0.30966410709488223,-5.75354384120255e-16
20.0,0.0,10.0,0.038073079927639183,2.560423696134652e-15,-0.9448075345704606,-2.18446090675725e-15,-0.33314076388933356,-1.096634922908101e-15
20.0,0.0,15.0,0.13346007938479004,4.64779406075429e-15,-1.2890883339667105,-3.165053249693333e-15,-0.38361207037278844,-2.047283252690011e-15
20.0,0.0,20.0,0.26590594393297967,3.870259655565621e-15,-1.6338357030422206,-4.8444694006664215e-15,-0.4538533356221232,-1.9952750785720218e-15
20.0,0.0,25.0,0.434862894673879,1.4950776118708652e-15,-1.968822340466275,-7.294318026873364e-15,-0.5361198168245642,-1.2506537928292483e-15
20.0,2.0,-25.0,0.37218090000241316,-0.022407626347477193,1.3620077716680177,0.0026582563193245728,-0.1011750303990684,0.00863282718878139
20.0,2.0,-20.0,0.22008367596720205,-0.02141380447559911,1.0307819308385189,0.0017426786166934323,-0.1809619480477034,0.008379293164683003
20.0,2.0,-15.0,0.10293499531321755,-0.020463178753302322,0.692695422252448,0.0006517143943718062,-0.24440158890356742,0.008166721347432713
20.0,2.0,-10.0,0.020519060837292904,-0.01956647692920086,0.3523657024041148,-0.000650808281923819,-0.29145489467551816,0.007952870164654489
20.0,2.0,-5.0,-0.0283487175322787,-0.0197573387601374,0.020704985634091743,-0.0021046252009495497,-0.3152151317698015,0.008033435764318796
20.0,2.0,0.0,-0.03961073617209751,-0.026413435026655836,-0.34717903069865136,-0.004373561178650919,-0.37782909075930887,0.010240866100218198
20.0,2.0,5.0,-0.019603627830560303,-0.04047382501247438,-0.6110465600580661,-0.006994920150482388,-0.3099797861786747,0.015305324777750469
20.0,2.0,10.0,0.04070977193377941,-0.06590160470852009,-0.9452177629626302,-0.012767723492766423,-0.33562487092482013,0.024970329911367505
20.0,2.0,15.0,0.13839669067125393,-0.07530628484420931,-1.2915323265037997,-0.020643889282842103,-0.3908364179659955,0.03154823964068759
20.0,2.0,20.0,0.2754248841332971,-0.0400549064038822,-1.640609268258816,-0.02639619275281745,-0.47060947614514276,0.02399935766768721
20.0,2.0,25.0,0.4518651733628563,0.08193613029398697,-1.9817826800189604,-0.008561621393577546,-0.5678473388686383,-0.022192670006463657
20.0,4.0,-25.0,0.3717641900947977,-0.044845214652065875,1.3575809180698062,0.00527730611957039,-0.09955291932038988,0.017268565170621843
20.0,4.0,-20.0,0.220203387876669,-0.042922028803546314,1.027516016209823,0.003448797281703327,-0.17934979839238924,0.016784319850511875
20.0,4.0,-15.0,0.10349095920764058,-0.041139463454372645,0.6905697611789735,0.00127336005074863,-0.24288869147673953,0.01640131939011411
20.0,4.0,-10.0,0.02139881778880334,-0.03947722695435614,0.35472865915386154,-0.001341005292603052,-0.2859028410976902,0.01600844710264712
20.0,4.0,-5.0,-0.027173400257189326,-0.039867358619602444,0.022789759124741318,-0.00426095049960411,-0.3115618570454987,0.01618008959853591
20.0,4.0,0.0,0.12098481380903706,-0.06403758637448398,-0.7681204482148543,-0.010488411958454054,-0.8986484813979555,0.024973393129221953
20.0,4.0,5.0,-0.016194673873326904,-0.07926990382011874,-0.6094409083153627,-0.013972429607699137,-0.3106010121583408,0.03001102492943614
20.0,4.0,10.0,0.049276495878579754,-0.13331369661627462,-0.9468487561495802,-0.025323618973948903,-0.34353232805223693,0.0502092506267331
20.0,4.0,15.0,0.15615202739267167,-0.14773540340176508,-1.301022127281322,-0.04043242254120989,-0.4155993718322187,0.061889586741629574
20.0,4.0,20.0,0.31805132928267976,-0.07006930148147135,-1.6718188197945767,-0.05048762804755416,-0.540177592576118,0.04367808878554757
20.0,4.0,25.0,0.5935137890992772,0.2888517685949822,-2.088951981793225,0.013464166636762713,-0.8173135134969852,-0.09878046974155194
